"date_value","dc_district","Retail Theft","Theft","Fraud/Theft of Services","Vandalism","Alcohol Possession by Minor","Public Drunkenness","Trespass","Disorderly Conduct","Minor Violations (Open Container, Public Urination, Smoking Violation)","Uncategorized Offenses"
2014-01-02,"71",0,0,0,0,0,0,0,0,0,0
2014-01-02,"77",0,0,0,0,0,0,0,0,0,0
2014-01-03,"01",0,0,0,0,0,0,0,0,0,0
2014-01-03,"02",0,0,0,0,0,0,0,0,3,0
2014-01-03,"03",0,0,0,0,0,0,0,0,0,0
2014-01-03,"05",0,0,0,0,0,0,0,0,0,0
2014-01-03,"06",0,0,0,0,0,0,1,0,0,0
2014-01-03,"07",0,0,0,0,0,0,0,0,0,0
2014-01-03,"08",0,0,0,0,0,0,0,0,0,0
2014-01-03,"09",0,0,0,0,0,0,0,0,0,0
2014-01-03,"12",0,0,0,0,0,0,0,1,0,0
2014-01-03,"14",0,0,0,0,0,0,0,0,1,0
2014-01-03,"15",0,0,0,0,0,0,0,0,0,0
2014-01-03,"16",0,0,0,0,0,0,0,0,2,0
2014-01-03,"17",0,0,0,0,0,0,0,0,0,0
2014-01-03,"18",0,0,0,0,0,0,0,0,0,0
2014-01-03,"19",0,0,0,0,0,0,0,1,6,0
2014-01-03,"22",0,0,0,0,0,1,0,1,0,0
2014-01-03,"24",0,0,0,0,0,0,0,0,0,0
2014-01-03,"25",0,0,0,0,0,0,0,0,0,0
2014-01-03,"26",0,0,0,0,0,0,0,0,1,0
2014-01-03,"35",1,0,0,0,0,0,0,0,0,0
2014-01-03,"39",0,0,0,0,0,0,0,0,0,0
2014-01-03,"49",0,0,13,0,0,0,0,2,5,0
2014-01-03,"71",0,0,0,0,0,0,0,0,0,0
2014-01-03,"77",0,0,0,0,0,0,0,0,0,0
2014-01-04,"01",0,0,0,0,0,0,0,0,0,0
2014-01-04,"02",0,0,0,0,0,0,0,0,0,0
2014-01-04,"03",0,0,0,0,0,0,0,0,0,0
2014-01-04,"05",0,0,0,0,0,0,0,0,0,0
2014-01-04,"06",2,0,0,0,0,0,0,0,0,0
2014-01-04,"07",0,0,0,0,0,0,0,0,0,0
2014-01-04,"08",0,0,0,0,0,0,0,0,0,0
2014-01-04,"09",0,0,0,0,0,0,0,0,0,1
2014-01-04,"12",0,0,0,0,0,0,0,0,0,0
