Link Source,Link Target,Link Value,,Node Index,Node Category,Node Category 2,Node Name,Node Value,Percentage of Total,Node Label,,Node Index (Rows in same order as Figure 4),Node Value (Rows in same order as Figure 4)
0,1,55801,,0,,,Total Cost ,170886,100.00%,"Total Cost  - $170,886M (100.%)",,25,16780
0,2,71202,,1,,,Healthcare,55801,32.65%,"Healthcare - $55,801M (32.65%)",,26,21297
0,3,9837,,2,,,Mortality,71202,41.67%,"Mortality - $71,202M (41.67%)",,27,7896
0,4,7766,,3,,,Criminal Justice,9837,5.76%,"Criminal Justice - $9,837M (5.76%)",,28,495
0,5,1231,,4,,,Child and Family Assistance,7766,4.54%,"Child and Family Assistance - $7,766M (4.54%)",,29,6171
0,6,25049,,5,,,Education,1231,0.72%,"Education - $1,231M (.72%)",,7,52639
1,7,52639,,6,,,Lost Productivity,25049,14.66%,"Lost Productivity - $25,049M (14.66%)",,30,86
1,8,734,,7,Healthcare,,For individuals with OUD,52639,30.80%,"For individuals with OUD - $52,639M (30.8%)",,31,N/A
1,9,2428,,8,Healthcare,,For infants born with NAS or NOWS,734,0.43%,For infants born with NAS or NOWS - $734M (.43%),,32,586
2,10,259,,9,Healthcare,,For family members of individual with OUD,2428,1.42%,"For family members of individual with OUD - $2,428M (1.42%)",,33,7
2,11,70943,,10,Mortality,,Medical Costs,259,0.15%,Medical Costs - $259M (.15%),,34,56
3,12,3590,,11,Mortality,,Lost Lifetime Earnings,70943,41.51%,"Lost Lifetime Earnings - $70,943M (41.51%)",,8,734
3,13,1580,,12,Criminal Justice,,Police Protection,3590,2.10%,"Police Protection - $3,590M (2.1%)",,35,990
3,14,841,,13,Criminal Justice,,Legal and Adjudication Activities,1580,0.92%,"Legal and Adjudication Activities - $1,580M (.92%)",,36,579
3,15,3826,,14,Criminal Justice,,Property Lost Due to Crime,841,0.49%,Property Lost Due to Crime - $841M (.49%),,37,466
4,16,1231,,15,Criminal Justice,,Correctional Facilities,3826,2.24%,"Correctional Facilities - $3,826M (2.24%)",,38,29
4,17,2805,,16,Child and Family Assistance Costs,,Child Welfare,1231,0.72%,"Child Welfare - $1,231M (.72%)",,39,364
4,18,587,,17,Child and Family Assistance Costs,,Food and Nutritional Assistance,2805,1.64%,"Food and Nutritional Assistance - $2,805M (1.64%)",,9,2428
4,19,3143,,18,Child and Family Assistance Costs,,Income Assistance,587,0.34%,Income Assistance - $587M (.34%),,1,55801
6,20,20717,,19,Child and Family Assistance Costs,,Housing/Homelessness Assistance,3143,1.84%,"Housing/Homelessness Assistance - $3,143M (1.84%)",,10,259
6,21,3433,,20,Lost Productivity,,Reduced Labor Force Participation and Absenteeism,20717,12.12%,"Reduced Labor Force Participation and Absenteeism - $20,717M (12.12%)",,11,70943
6,22,393,,21,Lost Productivity,,Incarceration,3433,2.01%,"Incarceration - $3,433M (2.01%)",,2,71202
6,23,36,,22,Lost Productivity,,Short-Term Disability,393,0.23%,Short-Term Disability - $393M (.23%),,12,3590
6,24,470,,23,Lost Productivity,,Long-Term Disability,36,0.02%,Long-Term Disability - $36M (.02%),,13,1580
7,25,16780,,24,Lost Productivity,,Workers' Compensation,470,0.28%,Workers' Compensation - $470M (.28%),,14,841
7,26,21297,,25,Healthcare,For individuals with OUD,Commercial,16780,9.82%,"Commercial - $16,780M (9.82%)",,15,3826
7,27,7896,,26,Healthcare,For individuals with OUD,Medicare,21297,12.46%,"Medicare - $21,297M (12.46%)",,3,9837
